family,n_variants,best_variant,best_dev_sharpe,sharpe_ci90_lo,sharpe_ci90_hi,deflated_sharpe_prob,walkforward_oos_sharpe,mc_mdd_median,mc_mdd_p95
allocation,8,"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=10)",1.118,0.784,1.476,1.0,1.153,-0.474,-0.622
breakout,5,"VolCompressionBreakout(entry_window=40,exit_window=20,max_positions=6,squeeze_pct=0.2)",0.232,-0.087,0.563,0.507,0.329,-0.742,-0.877
factor,27,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.167,0.866,1.521,1.0,0.834,-0.402,-0.535
fundamental,5,"QualityGrowth(rebalance=QE,top_n=5,w_accel=0.3,w_growth=0.4,w_margin=0.3)",0.446,0.108,0.853,0.934,0.408,-0.277,-0.403
longshort,8,"BetaHedgedBasket(basket=megacap_ai,beta_window=252,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",1.146,0.816,1.477,0.999,1.261,-0.343,-0.464
meanrev,3,"ShortTermReversal(lookback_days=5,rebalance=W-FRI,top_n=5,trend_window=200)",0.686,0.407,1.005,1.0,0.663,-0.637,-0.798
quality,4,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",0.608,0.264,0.938,0.994,0.674,-0.615,-0.774
regime,5,"RegimeSwitchedTech(cut=0.25,fallback=IEF,flags=('qqq_below_200', 'vix_high', 'rates_rising', 'breadth_weak'),rebalance=W-FRI)",0.878,0.58,1.218,1.0,0.868,-0.367,-0.511
riskmanaged,30,"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=200,vol_window=63)",1.34,1.032,1.725,1.0,1.202,-0.228,-0.315
tsmom,12,"TrendFollowCash(basket=megacap_ai,fallback=BIL,rebalance=W-FRI,sma_window=200)",1.25,0.971,1.598,1.0,1.284,-0.352,-0.483
xsmom,21,"XSMomentumTopN(basket=ai_broad,lookback_days=252,rebalance=ME,skip_days=21,top_n=10,weighting=equal)",0.89,0.61,1.213,1.0,0.856,-0.586,-0.74
