variant,stat,n_days,neighbor_stability
"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.1668035510209787,6686,0.06040741320730738
"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.4)",1.0813745679953288,6686,0.09886392443102553
"BreadthGatedBasket(basket=ai_broad,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",0.9696589999144559,6686,0.07370859758740397
"BreadthGatedBasket(basket=ai_broad,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.4)",0.9422185489124764,6686,0.045751767067310094
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=3,rebalance=ME,top_n=8,weighting=equal)",0.8803415601397222,6686,0.04260899937307642
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=3,rebalance=ME,top_n=12,weighting=equal)",0.8605355062668327,6686,0.014318014821746643
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=2,rebalance=ME,top_n=8,weighting=equal)",0.8525274523370747,6686,0.004741400588919571
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=3,rebalance=ME,top_n=5,weighting=equal)",0.8521330769979771,6686,0.021838555482219458
"MultiHorizonMomentum(basket=None,horizons=63,126,252,min_agree=2,rebalance=ME,top_n=8,weighting=inverse_vol)",0.8145063189754236,6686,0.02714230720492359
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=252,rebalance=ME,skip_days=21,top_n=12)",0.799433346283489,6686,0.030198537500606446
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=252,rebalance=ME,skip_days=21,top_n=8)",0.7563194711085551,6686,0.02515028654892354
"LowVolatilityTech(basket=None,rebalance=ME,top_n=20,trend_filter=True,vol_window=126)",0.7554374678558375,6686,0.003498291503819664
"LowVolatilityTech(basket=None,rebalance=ME,top_n=10,trend_filter=False,vol_window=126)",0.7498675890945998,6686,0.016968112727261828
"LowVolatilityTech(basket=None,rebalance=ME,top_n=20,trend_filter=False,vol_window=126)",0.7236614455959213,6686,0.019598933578936755
"ThemeRotation(lookback_days=126,rebalance=ME,top_themes=4)",0.711520050139752,6686,0.013114803682681886
"ThemeRotation(lookback_days=252,rebalance=ME,top_themes=3)",0.697455353305305,6686,0.013289849380778094
"ThemeRotation(lookback_days=252,rebalance=ME,top_themes=4)",0.6849557147035914,6686,0.01118521085914184
"LowVolatilityTech(basket=None,rebalance=ME,top_n=10,trend_filter=True,vol_window=126)",0.6751386082869808,6686,0.007716757987369636
"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",0.6697338992708047,6686,0.003134353739725211
"ThemeRotation(lookback_days=126,rebalance=ME,top_themes=3)",0.6696859155387218,6686,0.008995768806770544
"ThemeRotation(lookback_days=126,rebalance=ME,top_themes=2)",0.654128834192497,6686,0.011514288767150408
"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=12)",0.6472029723809621,6686,0.004254635928037294
"ThemeRotation(lookback_days=252,rebalance=ME,top_themes=2)",0.6463845356003006,6686,0.02087751931119298
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=126,rebalance=ME,skip_days=21,top_n=12)",0.6106397769107155,6686,0.020929618556549522
"ResidualMomentum(basket=None,bench=QQQ,beta_window=252,lookback_days=126,rebalance=ME,skip_days=21,top_n=8)",0.6096473485852499,6686,0.0007017527986062326
