step,selected,train_score
2003-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",34.10528900492628
2004-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",27.71178278778268
2005-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",25.300699788624478
2006-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",26.899449770329607
2007-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",28.92392528054934
2008-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",30.82725887915356
2009-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",29.051127351294607
2010-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",24.951486611904276
2011-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",22.273853159589596
2012-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",20.23255651249784
2013-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",1.3093296120737583
2014-02-01,"FundamentalAcceleration(basket=None,rebalance=QE,require_positive_growth=True,top_n=8)",1.2701706719901558
2015-02-01,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.1365919394262012
2016-02-01,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.0839566513361274
2017-02-01,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.1092884883000191
2018-02-01,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.163308431974239
2019-02-01,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.1298455930801643
2020-02-01,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.1681567554497392
2021-02-01,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.147215975958673
2022-02-01,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.1557586036008705
2023-02-01,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.1094836529110068
2024-02-01,"BreadthGatedBasket(basket=megacap_ai,breadth_window=200,fallback=IEF,min_exposure=0.0,rebalance=W-FRI,smooth_days=21,threshold=0.5)",1.1499975598276961
