step,selected,train_score
2003-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",34.10528900492628
2004-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",27.71178278778268
2005-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",25.300699788624478
2006-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",26.899449770329607
2007-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",28.92392528054934
2008-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",30.82725887915356
2009-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",29.051127351294607
2010-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",24.951486611904276
2011-02-01,"PostEarningsDrift(basket=None,hold_days=42,rebalance=W-FRI,top_n=10)",22.273853159589596
2012-02-01,"PostEarningsDrift(basket=None,hold_days=42,rebalance=W-FRI,top_n=10)",20.23255651249784
2013-02-01,"PostEarningsDrift(basket=None,hold_days=42,rebalance=W-FRI,top_n=10)",0.6433536183700337
2014-02-01,"PostEarningsDrift(basket=None,hold_days=42,rebalance=W-FRI,top_n=10)",0.6252118596045853
2015-02-01,"PostEarningsDrift(basket=None,hold_days=42,rebalance=W-FRI,top_n=10)",0.4952255577166529
2016-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",0.4653608921520179
2017-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",0.5157404239289441
2018-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",0.5985371952198562
2019-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",0.5673967779325362
2020-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",0.5572977069340205
2021-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",0.545545793728749
2022-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",0.5475182769793758
2023-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",0.5723628795171765
2024-02-01,"GrossProfitability(basket=None,min_history_q=8,rebalance=QE,top_n=8)",0.6110569610673868
