variant,stat,n_days,neighbor_stability
"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.0968602513176553,9021,0.042257742528843865
"QuietTrend(basket=None,lookback=504,trend_window=150,vol_quantile=0.6,vol_window=21)",1.0370987787180939,9021,0.059945049452070936
"ATRTrailingStop(atr_mult=4.0,atr_window=22,basket=None,entry_window=100)",0.9769703396190154,9021,0.035127564749424973
"FiftyTwoWeekHighProximity(basket=None,min_proximity=0.85,rebalance=ME,top_n=15,window=252)",0.9755660745481212,9021,0.0015830476857600557
"QuietTrend(basket=None,lookback=504,trend_window=150,vol_quantile=0.75,vol_window=21)",0.9738107389486376,9021,0.0034208189032285145
"ATRTrailingStop(atr_mult=3.0,atr_window=22,basket=None,entry_window=100)",0.9689617058127643,9021,0.005851302486333162
"FiftyTwoWeekHighProximity(basket=None,min_proximity=0.92,rebalance=ME,top_n=15,window=252)",0.962162428118298,9021,0.003946066006740934
"QuietTrend(basket=None,lookback=504,trend_window=200,vol_quantile=0.75,vol_window=21)",0.962091954876009,9021,0.011745054463540561
"QuietTrend(basket=None,lookback=504,trend_window=200,vol_quantile=0.6,vol_window=21)",0.9417842519800577,9021,0.019037723741594355
"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=1.3,vol_window=50)",0.9240454040588231,9021,0.012874907997328865
"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=1.75,vol_window=50)",0.9167503693635021,9021,0.005361320182688075
"ATRTrailingStop(atr_mult=2.5,atr_window=22,basket=None,entry_window=100)",0.9135921454657547,9021,0.003710752193974667
"GaussianTrendBands(atr_window=22,band_mult=1.5,basket=None,period=40,poles=4)",0.9093550505842244,9021,0.004124357749776468
"FiftyTwoWeekHighProximity(basket=None,min_proximity=0.92,rebalance=ME,top_n=8,window=252)",0.9053444667025177,9021,0.0043783576065377135
"GaussianTrendBands(atr_window=22,band_mult=1.5,basket=semiconductors,period=40,poles=4)",0.9006083597760717,9021,0.0037916881212251953
"VolumeConfirmedBreakout(basket=None,entry_window=55,exit_window=20,vol_mult=2.5,vol_window=50)",0.8978473134340781,9021,0.0021182044017535708
"GaussianTrendBands(atr_window=22,band_mult=1.0,basket=None,period=40,poles=4)",0.8964452412363864,9021,0.0013363758223742873
"FiftyTwoWeekHighProximity(basket=None,min_proximity=0.85,rebalance=ME,top_n=8,window=252)",0.8951756565751102,9021,0.0018540785164797183
"GaussianTrendBands(atr_window=22,band_mult=1.0,basket=semiconductors,period=40,poles=4)",0.8927931757118358,9021,0.0016667493330010722
"VolumeConfirmedBreakout(basket=None,entry_window=55,exit_window=20,vol_mult=1.75,vol_window=50)",0.8919652582201607,9021,0.0034826169494847534
"VolumeConfirmedBreakout(basket=None,entry_window=55,exit_window=20,vol_mult=1.3,vol_window=50)",0.8863899117541438,9021,0.004835113942123425
"GaussianTrendBands(atr_window=22,band_mult=2.0,basket=semiconductors,period=40,poles=4)",0.8823349528665534,9021,0.007661806083150191
"ATRTrailingStop(atr_mult=4.0,atr_window=22,basket=None,entry_window=55)",0.8715648622799734,9021,0.008488412795626347
"VolumeConfirmedBreakout(basket=None,entry_window=55,exit_window=20,vol_mult=1.0,vol_window=50)",0.8655849035286309,9021,0.004358301895250215
"ATRTrailingStop(atr_mult=3.0,atr_window=22,basket=None,entry_window=55)",0.8630826651164119,9021,0.006720401708419297
"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=1.0,vol_window=50)",0.8528971983125311,9021,0.005946476520462589
"Supertrend(atr_mult=2.0,atr_window=10,basket=semiconductors)",0.8526726063985306,9021,0.00022007535889188268
"Supertrend(atr_mult=3.0,atr_window=10,basket=None)",0.8524570787064022,9021,0.007400349840551653
"GaussianTrendHold(atr_window=22,band_mult=2.0,basket=None,confirm_days=5,period=60,poles=4)",0.8397484197228257,9021,0.007675304714082345
"GaussianTrendHold(atr_window=22,band_mult=3.0,basket=None,confirm_days=5,period=60,poles=4)",0.8386463159190328,9021,0.005839722140788871
"Supertrend(atr_mult=2.0,atr_window=10,basket=None)",0.8291278052957172,9021,0.016448201583973258
"GaussianTrendBands(atr_window=22,band_mult=2.0,basket=None,period=40,poles=4)",0.8066165917321155,9021,0.013674245356188202
"ADXTrendStrength(adx_min=25.0,adx_window=14,basket=semiconductors,di_window=14)",0.8044227038726958,9021,0.0024874322165441857
"Supertrend(atr_mult=3.0,atr_window=10,basket=semiconductors)",0.8016528533753619,9021,0.0038474819224835577
"ATRTrailingStop(atr_mult=2.5,atr_window=22,basket=None,entry_window=55)",0.7968204401582198,9021,0.003440098863913448
"GaussianTrendHold(atr_window=22,band_mult=3.0,basket=semiconductors,confirm_days=5,period=60,poles=4)",0.7949953406643387,9021,0.0012649216733746972
"ADXTrendStrength(adx_min=20.0,adx_window=14,basket=semiconductors,di_window=14)",0.7943907090122666,9021,0.024767332527816342
"GaussianTrendHold(atr_window=22,band_mult=2.0,basket=megacap_ai,confirm_days=5,period=60,poles=4)",0.7517979424038973,9021,0.027750169750732964
"Supertrend(atr_mult=3.0,atr_window=10,basket=megacap_ai)",0.7422786164339563,9021,0.007964885858247036
"ADXTrendStrength(adx_min=25.0,adx_window=14,basket=None,di_window=14)",0.7359768579454684,9021,0.006152711455662403
"GaussianTrendHold(atr_window=22,band_mult=3.0,basket=megacap_ai,confirm_days=5,period=60,poles=4)",0.7299744069359312,9021,0.004813703888619941
"GaussianTrendHold(atr_window=22,band_mult=2.0,basket=semiconductors,confirm_days=5,period=60,poles=4)",0.7264569537562708,9021,0.005841588636181
"ADXTrendStrength(adx_min=20.0,adx_window=14,basket=megacap_ai,di_window=14)",0.7185672029672566,9021,0.00775424673295085
"ADXTrendStrength(adx_min=20.0,adx_window=14,basket=None,di_window=14)",0.7109492542451298,9021,0.02373514092609055
"GaussianTrendBands(atr_window=22,band_mult=1.0,basket=megacap_ai,period=40,poles=4)",0.6741805760460117,9021,0.03165206360693906
"Supertrend(atr_mult=2.0,atr_window=10,basket=megacap_ai)",0.6479374839025461,9021,0.019502633400461277
"RelativeStrengthNewHigh(basket=megacap_ai,bench=QQQ,entry_window=63,exit_window=21,trend_window=200)",0.6360683674236159,9021,0.011510142676679486
"RelativeStrengthNewHigh(basket=semiconductors,bench=QQQ,entry_window=126,exit_window=21,trend_window=200)",0.6249209700133209,9021,0.018575482126028487
"GaussianTrendBands(atr_window=22,band_mult=1.5,basket=megacap_ai,period=40,poles=4)",0.5998035094559608,9021,0.015131316207329064
"ADXTrendStrength(adx_min=25.0,adx_window=14,basket=megacap_ai,di_window=14)",0.5977435848080972,9021,0.008913929719381944
"RelativeStrengthNewHigh(basket=semiconductors,bench=QQQ,entry_window=63,exit_window=21,trend_window=200)",0.583437577584561,9021,0.02978226392043304
"GaussianTrendHold(atr_window=22,band_mult=3.0,basket=ai_compute,confirm_days=5,period=60,poles=4)",0.5405161031594097,9021,0.0282909979779503
"TurnOfMonth(basket=None,end_day=5,start_day=24)",0.5300479823491184,9021,0.008200738849605755
"GaussianTrendHold(atr_window=22,band_mult=2.0,basket=ai_compute,confirm_days=5,period=60,poles=4)",0.5243472273436066,9021,0.0042762741503427695
"RelativeStrengthNewHigh(basket=megacap_ai,bench=QQQ,entry_window=126,exit_window=21,trend_window=200)",0.5216762276537565,9021,0.002955485084061631
"RelativeStrengthNewHigh(basket=None,bench=QQQ,entry_window=63,exit_window=21,trend_window=200)",0.518445109851016,9021,0.0028250687236305774
"GaussianTrendBands(atr_window=22,band_mult=2.0,basket=megacap_ai,period=40,poles=4)",0.5160465750577463,9021,0.006591624744534736
"GaussianTrendBands(atr_window=22,band_mult=1.0,basket=ai_compute,period=40,poles=4)",0.5060193637787928,9021,0.015417246323982626
"TurnOfMonth(basket=None,end_day=5,start_day=28)",0.48578092537982454,9021,0.01743290291074697
"TurnOfMonth(basket=None,end_day=3,start_day=24)",0.4713131049025585,9021,0.008818048225048211
"GaussianTrendBands(atr_window=22,band_mult=1.5,basket=ai_compute,period=40,poles=4)",0.4698128551084706,9021,0.005643778186788404
"GaussianTrendBands(atr_window=22,band_mult=2.0,basket=ai_compute,period=40,poles=4)",0.4608743973133617,9021,0.014417473219484762
"TurnOfMonth(basket=None,end_day=5,start_day=26)",0.4416019206848029,9021,0.016744052209527998
"RelativeStrengthNewHigh(basket=None,bench=QQQ,entry_window=126,exit_window=21,trend_window=200)",0.42752068471030774,9021,0.01194313036084465
"TurnOfMonth(basket=None,end_day=3,start_day=28)",0.4178518986530477,9021,0.028812890844103847
"TurnOfMonth(basket=None,end_day=3,start_day=26)",0.3734883855421044,9021,0.031369740957991867
