variant,stat,n_days,neighbor_stability
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=200,vol_window=63)",1.1692956680962558,9021,0.00012983501636187327
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=150,vol_window=63)",1.169112053655246,9021,0.002101788388620527
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=150,vol_window=63)",1.1655669311823955,9021,0.0026162958816535143
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.15,trend_window=200,vol_window=63)",1.1640064619043426,9021,0.021345167695111206
"TrendPlusVolTarget(basket=target_holdings,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=200,vol_window=63)",1.1278404889772133,9021,0.03259043613069583
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=200,vol_window=63)",1.0989615080283863,9021,0.016932616361039807
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=150,vol_window=63)",1.0980829100121143,9021,0.0025913096705955443
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.0,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=150,vol_window=63)",1.0940988950396262,9021,0.002540310157092195
"TrendPlusVolTarget(basket=megacap_ai,fallback=IEF,hysteresis=0.02,min_exposure=0.2,rebalance=W-FRI,target_vol=0.2,trend_window=200,vol_window=63)",1.0933604729613164,9021,0.005882861819536722
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.15,vol_window=63)",1.0835603556456062,9021,0.008688894558904594
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.15,vol_window=63)",1.076032263137012,9021,0.005541439523274623
"VolTargetedBasket(basket=target_holdings,fallback=IEF,rebalance=W-FRI,target_vol=0.2,vol_window=63)",1.072752267699427,9021,0.0031179195889896555
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.15,vol_window=21)",1.0697992827122427,9021,0.0071352639019655875
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.15,vol_window=21)",1.0591846262694715,9021,0.023158007252968852
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.2,vol_window=21)",1.0254486874498252,9021,0.02143365942998469
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.2,vol_window=63)",1.0194120701214036,9021,0.004192173895067815
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.4,dd_start=-0.1,fallback=IEF,rebalance=W-FRI)",1.0173912911377951,9021,0.002979550593271214
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.2,vol_window=21)",1.0135467342407665,9021,0.0032146204091953964
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.2,vol_window=63)",1.0110062904455064,9021,0.00420329925241169
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.4,dd_start=-0.15,fallback=IEF,rebalance=W-FRI)",1.0053365712188458,9021,0.007473336093116372
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.3,dd_start=-0.1,fallback=IEF,rebalance=W-FRI)",0.9961946629042059,9021,0.007969416065419602
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.25,vol_window=21)",0.9894583666642526,9021,0.005880207532484984
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=ME,target_vol=0.25,vol_window=63)",0.984478026501836,9021,0.0044921798918236685
"DrawdownDeRisk(basket=megacap_ai,dd_full=-0.3,dd_start=-0.15,fallback=IEF,rebalance=W-FRI)",0.9804923800753168,9021,0.01170688581298309
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.25,vol_window=21)",0.9625042250032918,9021,0.010522942653438363
"VolTargetedBasket(basket=megacap_ai,fallback=IEF,rebalance=W-FRI,target_vol=0.25,vol_window=63)",0.962036977363015,9021,0.06665113781699851
"InverseVolBasket(basket=ai_broad,rebalance=ME)",0.8468281532853644,9021,0.07106662347743438
"InverseVolBasket(basket=semiconductors,rebalance=ME)",0.8323451873830129,9021,0.010207792615072788
"InverseVolBasket(basket=target_holdings,rebalance=ME)",0.8271255361875524,9021,0.026248033712526635
"InverseVolBasket(basket=megacap_ai,rebalance=ME)",0.7844977198002053,9021,0.030142418034669112
