variant,stat,n_days,neighbor_stability
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",0.9187193614124612,9021,0.004963364912924418
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",0.9117001034375968,9021,0.0045929406375083085
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",0.9100781805924201,9021,0.0009907469717053703
"XSMomentumTopN(basket=target_holdings,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",0.9099033614110951,9021,0.02156534500761018
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",0.8726388045932516,9021,0.022455647194466553
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",0.8695620324323221,9021,0.0036928739201167442
"XSRiskAdjMomentum(lookback_days=126,rebalance=ME,top_n=5)",0.865285604829448,9021,0.005197814267758917
"XSMomentumTopN(basket=target_holdings,lookback_days=126,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",0.8592179704294864,9021,0.006590160909875378
"XSMomentumTopN(basket=None,lookback_days=126,rebalance=ME,skip_days=21,top_n=5,weighting=inverse_vol)",0.8521187465239818,9021,0.005918930451950317
"XSMomentumTopN(basket=target_holdings,lookback_days=126,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",0.8474645801984215,9021,0.022515615063512774
"XSRiskAdjMomentum(lookback_days=252,rebalance=ME,top_n=5)",0.8110023244015678,9021,0.023418646982033827
"XSMomentumTopN(basket=None,lookback_days=252,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",0.8037741316872805,9021,0.016181650188312118
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=8,weighting=equal)",0.780068778360828,9021,0.024976630200563826
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=3,weighting=equal)",0.7538420861180682,9021,0.016798199013525167
"XSMomentumTopN(basket=None,lookback_days=63,rebalance=ME,skip_days=21,top_n=5,weighting=equal)",0.748771402686111,9021,0.13048375346491994
"RelativeStrengthVsBench(bench=QQQ,lookback_days=126,rebalance=ME,top_n=8)",0.5253449204538139,9021,0.13840559310736442
"RelativeStrengthVsBench(bench=QQQ,lookback_days=126,rebalance=ME,top_n=5)",0.4955350896411087,9021,0.021078733513693132
