step,selected,train_score
1995-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=126,max_weight=0.25,rebalance=ME)",1.4382643471248668
1996-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=126,max_weight=0.25,rebalance=ME)",1.6517595833531669
1997-02-01,"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=15)",1.747826005249636
1998-02-01,"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=15)",2.0842746572508437
1999-02-01,"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=15)",2.283030649068881
2000-02-01,"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=15)",2.310914118723178
2001-02-01,"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=15)",1.6745259449033394
2002-02-01,"MinCorrelationSleeve(basket=None,corr_window=252,rebalance=QE,top_n=15)",1.0318190140945285
2003-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=252,max_weight=0.25,rebalance=ME)",0.7414073739632876
2004-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=252,max_weight=0.25,rebalance=ME)",0.7802482631315276
2005-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=252,max_weight=0.25,rebalance=ME)",0.7815186503360413
2006-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=252,max_weight=0.25,rebalance=ME)",0.8226083156053374
2007-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=252,max_weight=0.25,rebalance=ME)",0.8541604795465014
2008-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.7723668906216735
2009-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.7579941870313669
2010-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.7075470162416915
2011-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.6877441378162799
2012-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.7109917373838305
2013-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.7441689475248726
2014-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.7322892766264137
2015-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.7444562964704109
2016-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.7797020439609413
2017-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.7963324682288861
2018-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=126,max_weight=0.25,rebalance=ME)",0.8282360087328099
2019-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.8354805459561615
2020-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.8458034953815479
2021-02-01,"EqualRiskContribution(basket=target_holdings,cov_window=252,max_weight=0.25,rebalance=ME)",0.8195554802597501
2022-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=252,max_weight=0.25,rebalance=ME)",0.8410069389904966
2023-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=252,max_weight=0.25,rebalance=ME)",0.8040328776230002
2024-02-01,"EqualRiskContribution(basket=ai_broad,cov_window=252,max_weight=0.25,rebalance=ME)",0.8428825909035523
