step,selected,train_score
1995-02-01,"RelativeStrengthNewHigh(basket=None,bench=QQQ,entry_window=63,exit_window=21,trend_window=200)",47.92930911110969
1996-02-01,"RelativeStrengthNewHigh(basket=None,bench=QQQ,entry_window=63,exit_window=21,trend_window=200)",52.292797385601055
1997-02-01,"RelativeStrengthNewHigh(basket=None,bench=QQQ,entry_window=63,exit_window=21,trend_window=200)",56.7538462514445
1998-02-01,"RelativeStrengthNewHigh(basket=None,bench=QQQ,entry_window=63,exit_window=21,trend_window=200)",60.805585552147065
1999-02-01,"RelativeStrengthNewHigh(basket=None,bench=QQQ,entry_window=63,exit_window=21,trend_window=200)",64.22523516201485
2000-02-01,"ShortSqueezeCandidate(basket=None,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",67.37462230249875
2001-02-01,"ShortSqueezeCandidate(basket=None,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",69.02931686465668
2002-02-01,"ShortSqueezeCandidate(basket=None,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",61.518471716128474
2003-02-01,"ShortSqueezeCandidate(basket=None,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",47.93980749139884
2004-02-01,"ShortSqueezeCandidate(basket=None,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",39.96339758871512
2005-02-01,"ShortSqueezeCandidate(basket=None,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",36.674151884867065
2006-02-01,"ShortSqueezeCandidate(basket=None,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",37.19932691403143
2007-02-01,"ShortSqueezeCandidate(basket=None,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",38.53376192406926
2008-02-01,"ShortSqueezeCandidate(basket=None,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",39.64097705204997
2009-02-01,"ShortSqueezeCandidate(basket=None,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",36.58016927326588
2010-02-01,"ShortSqueezeCandidate(basket=megacap_ai,exit_pctile=0.5,lookback=252,min_hold=0,pctile=0.75,trend_window=100)",19.195615666353756
2011-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.1044426558428497
2012-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.0676216150131685
2013-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.115165695534616
2014-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.048193650363181
2015-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.0581052424545898
2016-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.0573089449497213
2017-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.0521382870849805
2018-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.1120593381645374
2019-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.0901641053399307
2020-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.1143833406270063
2021-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.0972458813088541
2022-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.106728112228904
2023-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.0822674563713814
2024-02-01,"VolumeConfirmedBreakout(basket=None,entry_window=100,exit_window=20,vol_mult=2.5,vol_window=50)",1.0797896679046382
