step,selected,train_score
1995-02-01,"BetaHedgedBasket(basket=target_holdings,beta_window=126,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",1.336874789424984
1996-02-01,"BetaHedgedBasket(basket=target_holdings,beta_window=126,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",1.322922685281097
1997-02-01,"BetaHedgedBasket(basket=target_holdings,beta_window=126,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",1.2907800868976345
1998-02-01,"BetaHedgedBasket(basket=target_holdings,beta_window=126,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",1.3287789019870677
1999-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.4529749498099742
2000-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.6588600089734251
2001-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.6230987357685212
2002-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.9404274536605086
2003-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.9241756488904012
2004-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.7850532315589536
2005-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.6625230090214573
2006-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.6926292347411809
2007-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.6665883189025317
2008-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.5906299387556444
2009-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.4634170243729443
2010-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.3717938650099044
2011-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.3281617974564421
2012-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.265667174156131
2013-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.1981862435029116
2014-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.1106917820804916
2015-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.0880031765116933
2016-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.0780137374905883
2017-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.1015190944571733
2018-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",1.0126015283306877
2019-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",0.9731749848603135
2020-02-01,"BetaHedgedBasket(basket=megacap_ai,beta_window=252,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",0.9649149460789713
2021-02-01,"MarketNeutralMomentum(basket=None,gross=1.0,lookback_days=252,rebalance=ME,skip_days=21,top_n=15)",0.9649807719155565
2022-02-01,"BetaHedgedBasket(basket=target_holdings,beta_window=252,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",0.9296930638193419
2023-02-01,"BetaHedgedBasket(basket=target_holdings,beta_window=252,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",0.906589960193849
2024-02-01,"BetaHedgedBasket(basket=target_holdings,beta_window=252,hedge=QQQ,max_hedge=1.5,rebalance=W-FRI)",0.9310476791653562
